source_id,country,site,lat,long,area_type,insecticide_control,control_type,month_start,month_end,year_start,year_end,season_given,season_calc,species,assi,id_1,id_2,biology_sampling_1,biology_sampling_2,biology_sampling_3,biology_sampling_n,parity_n,parity_total,parity_percent,daily_survival_rate_percent,fecundity,gonotrophic_cycle_days,infection_sampling_1,infection_sampling_2,infection_sampling_3,infection_sampling_n,sr_dissection_n,sr_dissection_total,sr_dissection_percent,sr_csp_n,sr_csp_pf_n,sr_csp_pv_n,sr_csp_pv_210_n,sr_csp_pv_247_n,sr_csp_pm_n,sr_csp_po_n,sr_csp_total,sr_csp_percent,sr_csp_pf_percent,sr_csp_pv_percent,sr_csp_pv_210_percent,sr_csp_pv_247_percent,sr_csp_pm_percent,sr_csp_po_percent,oocyst_n,oocyst_total,oocyst_percent,eir,eir_period,ext_incubation_period_days,indoor_hbr_sampling,indoor_hbr,outdoor_hbr_sampling,outdoor_hbr,combined_hbr_sampling_1,combined_hbr_sampling_2,combined_hbr_sampling_3,combined_hbr_sampling_n,combined_hbr,hbr_unit,indoor_host_sampling,indoor_host_n,indoor_host_total,indoor_host,outdoor_host_sampling,outdoor_host_n,outdoor_host_total,outdoor_host,combined_host_sampling_1,combined_host_sampling_2,combined_host_sampling_3,combined_host_sampling_n,combined_host_n,combined_host_total,combined_host,host_unit,other_host_sampling_1,other_host_sampling_2,other_host_sampling_3,other_host_sampling_n,other_host_n,other_host_total,other_host,other_host_unit,indoor_number_sampling_nights_biting,indoor_biting_sampling,indoor_biting_n,indoor_biting_total,indoor_biting,outdoor_number_sampling_nights_biting,outdoor_biting_sampling,outdoor_biting_n,outdoor_biting_total,outdoor_biting,indoor_outdoor_biting_units,indoor_number_sampling_nights_biting_activity,indoor_1830_2130,indoor_2130_0030,indoor_0030_0330,indoor_0330_0630,outdoor_number_sampling_nights_biting_activity,outdoor_1830_2130,outdoor_2130_0030,outdoor_0030_0330,outdoor_0330_0630,combined_number_sampling_nights_biting_activity,combined_1830_2130,combined_2130_0030,combined_0030_0330,combined_0330_0630,indoor_resting_sampling,indoor_unfed,indoor_fed,indoor_gravid,indoor_total,outdoor_resting_sampling,outdoor_unfed,outdoor_fed,outdoor_gravid,outdoor_total,other_resting_sampling,other_unfed,other_fed,other_gravid,other_total,resting_unit,citation,pubmed_id
9053,India,"Assam ( 114 villages in Sonitpur, Nagaon, Lakhimpur, Goalpara districts)",26,93,polygon large,,,3,10,2012,2012,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,2,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,"Assam ( 114 villages in Sonitpur, Nagaon, Lakhimpur, Goalpara districts)",26,93,polygon large,,,3,10,2013,2013,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,8,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,"Assam ( 114 villages in Sonitpur, Nagaon, Lakhimpur, Goalpara districts)",26,93,polygon large,,,3,10,2014,2014,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,19,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,Meghalaya (25 villages in East Khasi Hill and East Garo Hill districts),25.5,91.3333,polygon large,,,3,10,2012,2012,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,1,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,Meghalaya (25 villages in East Khasi Hill and East Garo Hill districts),25.5,91.3333,polygon large,,,3,10,2013,2013,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,2,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,Meghalaya (25 villages in East Khasi Hill and East Garo Hill districts),25.5,91.3333,polygon large,,,3,10,2014,2014,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,6,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,Manipur (27 villages in Chandel district),25,94,polygon large,,,3,10,2012,2012,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,0,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,Manipur (27 villages in Chandel district),25,94,polygon large,,,3,10,2013,2013,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,0,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,Manipur (27 villages in Chandel district),25,94,polygon large,,,3,10,2014,2014,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,2,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
9053,India,Sikkim (10 villages in East Sikkim district),27.75,88.5,polygon large,,,3,10,2012,2012,,,Anopheles culicifacies complex,"PCR analysis of a subset of 35 specimens of vectors collected in the study revealed that 26 samples were An. culicifacies, five were  An. minimus, and one was An. dirus and one was An. fluviatilis.",M,PCR,,,,,,,,,,,HRI,OLT,RO (ani-shelter),t,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Akhtar, N., Nagpal, B.N., Kapoor, N., Srivastava, A. and Valecha, N. (2016). Role of An. Culicifacies as a vector of malaria in changing ecological scenario of northeastern states of India. Indian Journal of Medical Research, 53(3):264û71.",27681550
