source_id,country,site,species,variable,value,pubmed_id,reference,
15,Philippines,Bataan,Anopheles flavirostris,M,0.76,9088435,"Torres EP, Salazar NP, Belizario VY, Saul A. Vector abundance and behaviour in an area of low malaria endemicity in Bataan, the Philippines. Acta Tropica. 1997	63(4):209-20.",
1468,SÒo TomÚ and PrÝncipe,Praia das Burras,Anopheles gambiae complex,sac_rate,0.47,12801422,"Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Petrarca, V. and Rosario, V.d.o.E. (2003).  'A mate or a meal'--pre-gravid behaviour of female Anopheles gambiae from the islands of SÒo TomÚ and PrÝncipe, West Africa. Malaria Journal, 2:10",
1468,SÒo TomÚ and PrÝncipe,Rua dos Trabalhadores,Anopheles gambiae complex,sac_rate,0.39,12801423,"Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Petrarca, V. and Rosario, V.d.o.E. (2003).  'A mate or a meal'--pre-gravid behaviour of female Anopheles gambiae from the islands of SÒo TomÚ and PrÝncipe, West Africa. Malaria Journal, 2:11",
1468,SÒo TomÚ and PrÝncipe,Riboque,Anopheles gambiae complex,sac_rate,0.65,12801421,"Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Petrarca, V. and Rosario, V.d.o.E. (2003).  'A mate or a meal'--pre-gravid behaviour of female Anopheles gambiae from the islands of SÒo TomÚ and PrÝncipe, West Africa. Malaria Journal, 2:9",
1470,SÒo TomÚ and PrÝncipe,Budo Budo,Anopheles gambiae,sac_rate,0.4,14613634,"Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Gil, V. and Do Ros?írio, V.E. (2003).  Mating does not affect the biting behaviour of Anopheles gambiae from the islands of SÒo TomÚ and PrÝncipe, West Africa. Annals of Tropical Medicine and Parasitology, 97(7):751-6",
1927,India,Orissa,Anopheles culicifacies,Chi,0.011,11081646,"Nanda N, Yadav RS, Subbarao SK, Joshi H, Sharma VP. Studies on Anopheles fluviatilis and Anopheles culicifacies sibling species in relation to malaria in forested hilly and deforested riverine ecosystems in northern Orissa, India. J Am Mosq Control Assoc. 2000",
1927,India,Orissa,Anopheles fluviatilis,Chi,0.876,11081646,"Nanda N, Yadav RS, Subbarao SK, Joshi H, Sharma VP. Studies on Anopheles fluviatilis and Anopheles culicifacies sibling species in relation to malaria in forested hilly and deforested riverine ecosystems in northern Orissa, India. J Am Mosq Control Assoc. 2000",
1968,India,,Anopheles annularis,indoor_resting_by_biting,1.412,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles annularis,indoor_resting_by_biting,4.5,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles culicifacies,indoor_resting_by_biting,442.667,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles fluviatilis,indoor_resting_by_biting,0.215,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles fluviatilis,indoor_resting_by_biting,0.72,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles jamesii,indoor_resting_by_biting,1,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles jeyporiensis,indoor_resting_by_biting,4.245,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles jeyporiensis,indoor_resting_by_biting,14.684,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles karwari,indoor_resting_by_biting,0,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles maculatus,indoor_resting_by_biting,0.079,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles maculatus,indoor_resting_by_biting,0.25,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles nigerrimus,indoor_resting_by_biting,3.231,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles pallidus,indoor_resting_by_biting,2,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles splendidus,indoor_resting_by_biting,4.235,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles subpictus,indoor_resting_by_biting,379,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles tessellatus,indoor_resting_by_biting,0.125,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles annularis,proportion_indoor_biting,0.8,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles culicifacies,proportion_indoor_biting,1,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles fluviatilis,proportion_indoor_biting,0.85,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles jamesii,proportion_indoor_biting,0.833,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles jeyporiensis,proportion_indoor_biting,0.704,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles karwari,proportion_indoor_biting,0.571,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles maculatus,proportion_indoor_biting,0.61,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles nigerrimus,proportion_indoor_biting,0.65,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles pallidus,proportion_indoor_biting,0.4,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles splendidus,proportion_indoor_biting,0.81,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles subpictus,proportion_indoor_biting,1,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
1968,India,,Anopheles tessellatus,proportion_indoor_biting,0.8,14972050,"Sadanandane C, Jambulingam P, Subramanian S. Role of modified CDC miniature light-traps as an alternative method for sampling adult anophelines (Diptera: Culicidae) in the National Mosquito Surveillance Programme in India. Bull Entomol Res. 2004",
2048,PNG,Wosera,Anopheles farauti,Chi,0.88,9103763,"Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997",
2048,PNG,Wosera,Anopheles koliensis,Chi,0.79,9103763,"Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997",
2048,PNG,Wosera,Anopheles punctulatus,Chi,0.9,9103763,"Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997",
2048,PNG,Wosera,Anopheles farauti,proportion_indoor_biting,0.47,9103763,"Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997",
