rhythm_id;species;country;sampling;site;17:00_18:00;18:00_19:00;19:00_20:00;20:00_21:00;21:00_22:00;22:00_23:00;23:00_00:00;00:00_01:00;01:00_02:00;02:00_03:00;03:00_04:00;04:00_05:00;05:00_06:00;06:00_07:00;comments;source_id;pubmed_id;citation
19;Anopheles barbirostris;Vietnam;ABO;pooled;NA;0.25;0.125;0.083333333;0.083333333;0.125;0.125;0.083333333;0.041666667;0;0.041666667;0.041666667;0;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
21;Anopheles sawadwongporni;Vietnam;ABO;pooled;NA;0;0.166666667;0.1;0.133333333;0.1;0.133333333;0.1;0.066666667;0.066666667;0.066666667;0.066666667;0;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
22;Anopheles maculatus;Vietnam;ABO;pooled;NA;0.086956522;0.130434783;0.173913043;0.173913043;0.065217391;0.086956522;0.086956522;0.065217391;0.043478261;0;0.043478261;0.043478261;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
23;Anopheles harrisoni;Vietnam;ABO;pooled;NA;0.066666667;0.1;0.083333333;0.016666667;0.066666667;0.15;0.1;0.133333333;0.05;0.083333333;0.116666667;0.033333333;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
25;Anopheles vagus;Vietnam;ABO;pooled;NA;0.009090909;0.072727273;0.063636364;0.218181818;0.081818182;0.109090909;0.1;0.072727273;0.063636364;0.054545455;0.118181818;0.036363636;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
26;Anopheles kochi;Vietnam;ABO;pooled;NA;0.047619048;0.126984127;0.047619048;0.031746032;0.142857143;0.119047619;0.071428571;0.158730159;0.119047619;0.047619048;0.055555556;0.031746032;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
27;Anopheles nivipes;Vietnam;ABO;pooled;NA;0.025316456;0.069620253;0.17721519;0.094936709;0.075949367;0.012658228;0.082278481;0.056962025;0.082278481;0.094936709;0.202531646;0.025316456;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
28;Anopheles annularis;Vietnam;ABO;pooled;NA;0.017191977;0.091690544;0.045845272;0.05730659;0.077363897;0.143266476;0.097421203;0.134670487;0.131805158;0.091690544;0.080229226;0.031518625;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
29;Anopheles philippinensis;Vietnam;ABO;pooled;NA;0.019083969;0.066793893;0.061068702;0.116412214;0.095419847;0.110687023;0.125954198;0.095419847;0.074427481;0.082061069;0.083969466;0.06870229;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
30;Anopheles aconitus;Vietnam;ABO;pooled;NA;0.016337059;0.029234738;0.03783319;0.052450559;0.116079106;0.121238177;0.120378332;0.122957868;0.103181427;0.092003439;0.134995701;0.053310404;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
31;Anopheles sinensis;Vietnam;ABO;pooled;NA;0.056872038;0.058451817;0.072143233;0.071090047;0.077935756;0.098999473;0.096366509;0.083201685;0.104791996;0.098999473;0.114797262;0.066350711;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
59;Homo sapiens;Haiti;BED;Fondwa;NA;0.05628637;0.14084496;0.28558507;0.47761203;0.67502964;0.83202297;0.92736838;0.96734455;0.96637604;0.92983136;0.85264515;0.73021653;0.57079495;;9028;24243559;Knutson, K.L. Sleep duration, quality, and timing and their associations with age in a community without electricity in Haiti, Am J Hum. Biol, 2014, 26: 80-86.
53;Anopheles gambiae;Tanzania;HBI;Dar es Salaam;NA;0.008657335;0.024416796;0.039502333;0.051114567;0.079471229;0.097252462;0.092534992;0.100570244;0.111975117;0.099274235;0.145152929;0.15007776;NA;;5781;23396849;"Huho B, Briet O, Seyoum A, Sikaala C, Bayoh N, Gimnig J, et al. Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa. Int J Epidemiol. 2013;42(1):235-47."
55;Anopheles gambiae;Kenya;HBI;Kisumu;NA;0.005494505;0.068681319;0.074175824;0.131868132;0.126373626;0.057692308;0.112637363;0.096153846;0.074175824;0.07967033;0.096153846;0.076923077;NA;;5781;23396849;"Huho B, Briet O, Seyoum A, Sikaala C, Bayoh N, Gimnig J, et al. Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa. Int J Epidemiol. 2013;42(1):235-47."
57;Anopheles gambiae;Tanzania;HBI;Lupiro;NA;0;0;0;0.021195097;0.021195097;0.127681307;0.170326864;0.170326864;0.063840654;0.212717058;0.148876404;0.063840654;NA;;5781;23396849;"Huho B, Briet O, Seyoum A, Sikaala C, Bayoh N, Gimnig J, et al. Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa. Int J Epidemiol. 2013;42(1):235-47."
54;Anopheles gambiae;Tanzania;HBO;Dar es Salaam;NA;0.015338042;0.056710394;0.067305752;0.096569122;0.097578204;0.127144299;0.101917255;0.082744702;0.086276488;0.075176589;0.089303734;0.103935419;NA;;5781;23396849;"Huho B, Briet O, Seyoum A, Sikaala C, Bayoh N, Gimnig J, et al. Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa. Int J Epidemiol. 2013;42(1):235-47."
