survey,assigned,species,complex
Anopheles arabiensis,1,Anopheles arabiensis,Gambiae
Anopheles funestus complex,1,,Funestus
Anopheles gambiae,1,Anopheles gambiae,Gambiae
Anopheles gambiae complex,1,,Gambiae
Anopheles funestus,1,Anopheles funestus,Funestus
Anopheles nili,1,Anopheles nili,Nili
Anopheles moucheti,1,Anopheles moucheti,
Anopheles nili complex,1,,Nili
Anopheles melas,1,Anopheles melas,Gambiae
Anopheles gambiae (Forest),2,Anopheles gambiae,Gambiae
Anopheles gambiae (Form M),2,Anopheles gambiae,Gambiae
Anopheles merus,1,Anopheles merus,Gambiae
Anopheles nili (ovengensis),2,Anopheles nili,Nili
Anopheles carnevalei (nili),2,Anopheles carnevalei,
Anopheles gambiae (Form S),2,Anopheles gambiae,Gambiae
Anopheles gambiae (Savanna),2,Anopheles gambiae,Gambiae
Anopheles gambiae (Bamako),2,Anopheles gambiae,Gambiae
Anopheles gambiae (Mopti),2,Anopheles gambiae,Gambiae
Anopheles albimanus,1,Anopheles albimanus,
Anopheles darlingi,1,Anopheles darlingi,
Anopheles pseudopunctipennis complex,0,,Pseudopunctipennis
Anopheles nuneztovari complex,3,,Nuneztovar
Anopheles albitarsis complex,0,,Albitarsus
Anopheles aquasalis,1,Anopheles aquasalis,Oswaldoi
Anopheles albitarsis (marajoara formerly Sp C),2,Anopheles albitarsis,
Anopheles albitarsis (Sp. E),2,Anopheles albitarsis,
Anopheles nuneztovari(Sp. B/C),2,Anopheles nuneztovari,Nuneztovar
Anopheles albitarsis (formerly Sp A),2,Anopheles albitarsis,
Anopheles albitarsis (Sp. B),2,Anopheles albitarsis,
Anopheles quadrimaculatus complex,1,,Quadrimaculatus
Anopheles quadrimaculatus (formerly Sp. A),2,Anopheles quadrimaculatus,Quadrimaculatus
Anopheles freeborni,1,Anopheles freeborni,Freeborni
Anopheles annularis complex,1,,Annularis
Anopheles culicifacies complex,1,,Culicifacies
Anopheles aconitus,1,Anopheles aconitus,Aconitus
Anopheles subpictus complex,1,,Subpictus
Anopheles dirus complex,1,,Dirus
Maculatus Group,0,,Maculatus
Anopheles minimus complex,1,,Minimus
Anopheles fluviatilis complex,3,,Minimus
Anopheles barbirostris complex,1,,Barbirostris
Anopheles maculatus,1,Anopheles maculatus,Maculatus
Anopheles barbirostris,1,Anopheles barbirostris,
Anopheles flavirostris,1,Anopheles flavirostris,Minimus
Anopheles sundaicus,1,Anopheles sundaicus,Sundaicus
Anopheles sundaicus complex,1,,Sundaicus
Anopheles sinensis,1,Anopheles sinensis,
Anopheles harrisoni (formerly minimus Sp. C),2,Anopheles harrisoni,Minimus
Anopheles dirus (formerly Sp. A),2,Anopheles dirus,Dirus
Anopheles minimus (formerly Sp. A),2,Anopheles minimus,Minimus
Anopheles balabacensis (leucosphyrus),2,Anopheles balabacensis,Leucosphyrus
Anopheles stephensi,1,Anopheles stephensi,Stephensi
Anopheles anthropophagus (lesteri),2,Anopheles anthropophagus,
Anopheles baimaii (formerly dirus Sp. D),2,Anopheles baimaii,
Anopheles leucosphyrus,1,Anopheles leucosphyrus,Leucosphyrus
Anopheles cracens (formerly dirus Sp. B),2,Anopheles cracens,
Anopheles fluviatilis (Sp.T),2,Anopheles fluviatilis,Minimus
Anopheles culicifacies (Sp. A),2,Anopheles culicifacies,Culicifacies
Anopheles culicifacies (Sp. B),2,Anopheles culicifacies,Culicifacies
Anopheles culicifacies (Sp. C),2,Anopheles culicifacies,Culicifacies
Anopheles fluviatilis (Sp. S),2,Anopheles fluviatilis,Minimus
Anopheles culicifacies (Sp. D),2,Anopheles culicifacies,Culicifacies
Anopheles epiroticus (formerly sundaicus Sp. A),2,Anopheles epiroticus,Sundaicus
Anopheles annularis,1,Anopheles annularis,Annularis
Anopheles punctulatus complex,3,,punctulatus
Anopheles farauti complex,3,,punctulatus
Anopheles koliensis,1,Anopheles koliensis,punctulatus
Anopheles latens (leucospyrus),2,Anopheles latens,Leucosphyrus
Anopheles leucosphyrus complex,1,,Leucosphyrus
Anopheles subpictus (Sp. B),2,Anopheles subpictus,Subpictus
Anopheles farauti (formerly No.1),2,Anopheles farauti,punctulatus
Anopheles punctulatus,1,Anopheles punctulatus,punctulatus
Anopheles farauti (No. 4),2,Anopheles farauti,punctulatus
Anopheles farauti (No. 8),2,Anopheles farauti,punctulatus
Anopheles fluviatilis (Sp. U),2,Anopheles fluviatilis,Minimus
Anopheles annularis (Sp. A),2,Anopheles annularis,Annularis
Anopheles culicifacies (Sp. E),2,Anopheles culicifacies,Culicifacies
Anopheles splendidus,1,Anopheles splendidus,
Anopheles subpictus,1,Anopheles subpictus,Subpictus
Anopheles nivipes,1,Anopheles nivipes,Nivipes
Anopheles pseudojamesi,1,Anopheles pseudojamesi,
