citation,source_id,pubmed_id
"Charlwood JD, Birley MH, Dagoro H, Paru R, Holmes PR. Assessing Survival Rates of Anopheles-Farauti (Diptera, Culicidae) from Papua-New-Guinea. Journal of Animal Ecology. 1985",9001,NA
"Chatterjee S, Chandra G. Role of Anopheles subpictus as a Primary Vector of Malaria in an area in India. Jpn J Trop Med Hyg. 2000",9002,NA
"Dev V, Phookan S, Sharma VP, Anand SP. Physiographic and entomologic risk factors of malaria in Assam, India. Am J Trop Med Hyg. 2004",9003,15516642
"Dutta P, Bhattacharyya DR, Khan SA, Sharma CK, Mahanta J. Feeding patterns of Anopheles dirus, the major vector of forest malaria in north east India. Southeast Asian J Trop Med Public Health. 1996",9004,9280007
"Elyazar IR, Sinka ME, Gething PW, Tarmidzi SN, Surya A, Kusriastuti R, et al. The distribution and bionomics of anopheles malaria vector mosquitoes in Indonesia. Adv Parasitol. 2013",9005,23876873
"Graves PM, Burkot TR, Saul AJ, Hayes RJ, Carter R. Estimation of Anopheline Survival Rate, Vectorial Capacity and Mosquito Infection Probability from Malaria Vector Infection- Rates in Villages Near Madang, Papua-New-Guinea. Journal Of Applied Ecology. 1990",9006,NA
"Gunasekaran K, Jambulingam P, Das PK. Distribution of indoor-resting Anopheles fluviatilis in human dwellings and its implication on indoor residual spray. Indian J Malariol. 1995",9007,8549839
"Gunathilaka N, Denipitiya T, Hapugoda M, Abeyewickreme W, Wickremasinghe R. Determination of the foraging behaviour and blood meal source of malaria vector mosquitoes in Trincomalee District of Sri Lanka using a multiplex real time polymerase chain reaction assay. Malar J. 2016",9008,27118141
"Ismail IAH, Notananda V, Schapens J. Studies of Malaria and Responses of Anopheles balabacensis and Anopheles minimus to DDT residual spraying in Thailand. Geneva",9009,NA
"Mahmood F, Reisen WK. Duration of the gonotrophic cycles of Anopheles culifacies Giles and Anopheles stephensi Liston, with observations on reproductive activity and survivorship during winter in Punjab Province, Pakistan. Mosquito News. 1981",9010,NA
"Ndoen E, Wild C, Dale P, Sipe N, Dale M. Dusk to dawn activity patterns of anopheline mosquitoes in West Timor and Java, Indonesia. Southeast Asian J Trop Med Public Health. 2011;42(3):550-61.",9011,20846447
"Singh N, Mishra AK, Chand SK, Sharma VP. Population dynamics of Anopheles culicifacies and malaria in the tribal area of central India. J Am Mosq Control Assoc. 1999",9012,10480116
"Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016",9013,27405767
"Charlwood JD, Graves PM, Birley MH. Capture-Recapture Studies with Mosquitos of the Group of Anopheles-Punctulatus Donitz (Diptera, Culicidae) from Papua- New-Guinea. Bulletin of Entomological Research. 1986",9014,NA
"Charlwood JD, Graves PM, Alpers MP. The ecology of the Anopheles punctulatus group of mosquitoes from Papua New Guinea: a review of recent work. PNG Med J. 1986",9015,3463014
Wharton RH. The habits of adult mosquitoes in Malaya. I. Observations on anophelines in window-trap huts and at cattle-sheds. Ann Trop Med Parasitol. 1951,9016,14878396
"Hobbs JH, Sexton JD, St JY, Jacques JR. The biting and resting behavior of Anopheles albimanus in northern Haiti. J Am Mosq Control Assoc. 1986	2(2):150-3.",9017,3507484
