source_id;country;site;insecticide_control;month_start;month_end;year_start;year_end;season_given;species;dissected_non_gravid;parous;parous_with_sac;sac_rate;sac_rate_percent;pubmed_id;citation;remark
1468;STP;Praia das Burras;;3;12;1997;1998;;Anopheles gambiae complex;983;381;179;0.47;47;12801422;Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Petrarca, V. and Rosario, V.d.o.E. (2003).  'A mate or a meal'--pre-gravid behaviour of female Anopheles gambiae from the islands of Sño Tomò and Pr?ncipe, West Africa. Malaria Journal, 2:9;Table 2
1468;STP;Rua dos Trabalhadores;;3;12;1997;1998;;Anopheles gambiae complex;584;156;61;0.39;39;12801423;Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Petrarca, V. and Rosario, V.d.o.E. (2003).  'A mate or a meal'--pre-gravid behaviour of female Anopheles gambiae from the islands of Sño Tomò and Pr?ncipe, West Africa. Malaria Journal, 2:9;Table 2
1468;STP;Riboque;;3;12;1997;1998;;Anopheles gambiae complex;;;;0.65;65;12801421;Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Petrarca, V. and Rosario, V.d.o.E. (2003).  'A mate or a meal'--pre-gravid behaviour of female Anopheles gambiae from the islands of Sño Tomò and Pr?ncipe, West Africa. Malaria Journal, 2:9;mean of two rates in Riboque
1468;STP;Riboque Land;;3;12;1997;1998;;Anopheles gambiae complex;2463;80;49;0.6125;61.25;12801421;Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Petrarca, V. and Rosario, V.d.o.E. (2003).  'A mate or a meal'--pre-gravid behaviour of female Anopheles gambiae from the islands of Sño Tomò and Pr?ncipe, West Africa. Malaria Journal, 2:9;Table 2
1468;STP;Riboque Light;;3;12;1997;1998;;Anopheles gambiae complex;2147;556;385;0.692446043;69.2446043;12801421;Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Petrarca, V. and Rosario, V.d.o.E. (2003).  'A mate or a meal'--pre-gravid behaviour of female Anopheles gambiae from the islands of Sño Tomò and Pr?ncipe, West Africa. Malaria Journal, 2:9;Table 2
1469;STP;Riboque;;4;4;1997;1997;;Anopheles gambiae;124;34;23;;0;14613634;Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Gil, V. and Do Ros?’rio, V.E. (2003).  Mating does not affect the biting behaviour of Anopheles gambiae from the islands of Sño Tomò and Pr?ncipe, West Africa. Annals of Tropical Medicine and Parasitology, 97(7):751-5;
1470;STP;Budo Budo;;;;;;;Anopheles gambiae;;;;0.4;40;14613634;Charlwood, J.D., Pinto, J., Sousa, C.A., Ferreira, C., Gil, V. and Do Ros?’rio, V.E. (2003).  Mating does not affect the biting behaviour of Anopheles gambiae from the islands of Sño Tomò and Pr?ncipe, West Africa. Annals of Tropical Medicine and Parasitology, 97(7):751-6;overall parous rate
3949;Tanzania (United Republic of);Namawala;t;;;1991;1991;rainy;Anopheles funestus complex;;;;0.616;61.6;NA;Charlwood, J.D., Smith, T., Billingsley, P.F., Takken, W., Lyimo, E.O.K. and Meuwissen, J.H.E.T. (1997).  Survival and infection probabilities of anthropophagic anophelines from an area of high prevalence of Plasmodium falciparum in humans. Bulletin of Entomological Research, 87(5):445-453;percentage of total dissected mosquitoes
3949;Tanzania (United Republic of);Namawala;t;;;1991;1991;rainy;Anopheles gambiae complex;;;;0.313;31.3;NA;Charlwood, J.D., Smith, T., Billingsley, P.F., Takken, W., Lyimo, E.O.K. and Meuwissen, J.H.E.T. (1997).  Survival and infection probabilities of anthropophagic anophelines from an area of high prevalence of Plasmodium falciparum in humans. Bulletin of Entomological Research, 87(5):445-453;percentage of total dissected mosquitoes
4483;Tanzania (United Republic of);Kikulukutu;;;;;;;Anopheles arabiensis;;;;0.3;30;NA;Charlwood, J.D., Kihonda, J., Sama, S., Billingsley, P.F., Hadji, J., Verhave, J.P., Lyimo, E., Luttikhuizen, P.C., Smith, T. and . (1995).  The Rise and Fall of Anopheles Arabiensis (Diptera, Culicidae) in a Tanzanian Village. Bulletin of Entomological Research, 85(1):37-44;numbers not found
9001;Papua New Guinea;Madang;;;;;;;Anopheles farauti;;;;0.53;53;NA;Charlwood JD, Birley MH, Dagoro H, Paru R, Holmes PR. Assessing Survival Rates of Anopheles-Farauti (Diptera, Culicidae) from Papua-New-Guinea. Journal of Animal Ecology. 1985;percentage of total dissected mosquitoes
9012;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles jamesii;1;1;;1;100;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 2
9013;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles aconitus;9;6;;0.83;83;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pailin;;2;12;2012;2013;;Anopheles aconitus;42;25;;0.48;48;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles aconitus;33;25;;0.32;32;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles barbirostris s.l.;24;20;;0.2;20;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Koh Kong;;2;12;2012;2013;;Anopheles barbirostris s.l.;4;3;;0;0;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pailin;;2;12;2012;2013;;Anopheles barbirostris s.l.;72;36;;0.14;14;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles barbirostris s.l.;19;7;;0.29;29;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
