species,Taxon_no
Anopheles aconitus,275
Anopheles albimanus,477
Anopheles albitarsis (formerly Sp A),499
Anopheles albitarsis (marajoara formerly Sp C),503
Anopheles albitarsis (Sp. B),499
Anopheles albitarsis (Sp. E),499
Anopheles albitarsis complex,499
Anopheles annularis (Sp. A),341
Anopheles annularis complex,341
Anopheles annularis,341
Anopheles anthropophagus (lesteri),216
Anopheles aquasalis,479
Anopheles arabiensis,445
Anopheles baimai,408
Anopheles baimaii (formerly dirus Sp. D),408
Anopheles balabacensis (leucosphyrus),414
Anopheles balabacensis,414
Anopheles bancroftii,165
Anopheles barbirostris complex,155
Anopheles barbirostris,155
Anopheles barbumbrosus,177
Anopheles campestris,171
Anopheles carnevalei (nili),395
Anopheles coluzzi,449
Anopheles coluzzii,449
Anopheles coustani,182
Anopheles cracens (formerly dirus Sp. B),409
Anopheles crawfordi,214
Anopheles culicifacies (Sp. A),280
Anopheles culicifacies (Sp. B),280
Anopheles culicifacies (Sp. C),280
Anopheles culicifacies (Sp. D),280
Anopheles culicifacies (Sp. E),280
Anopheles culicifacies complex,280
Anopheles culicifacies,280
Anopheles darlingi,507
Anopheles dirus (formerly Sp. A),411
Anopheles dirus (scanloni formerly Sp. C),410
Anopheles dirus complex,411
Anopheles dirus,411
Anopheles epiroticus (formerly sundaicus Sp. A),455
Anopheles epiroticus,455
Anopheles farauti (formerly No.1),376
Anopheles farauti (hinesorum formerly No. 2),377
Anopheles farauti (No. 4),376
Anopheles farauti (No. 8),376
Anopheles farauti complex,376
Anopheles farauti complex,376
Anopheles farauti s.l.,376
Anopheles farauti,376
Anopheles flaviirostris,288
Anopheles flavirostris,288
Anopheles fluviatilis (Sp. S),291
Anopheles fluviatilis (Sp. U),291
Anopheles fluviatilis (Sp.T),291
Anopheles fluviatilis complex,291
Anopheles fluviatilis,291
Anopheles freeborni,67
Anopheles funestus complex,283
Anopheles funestus sl,283
Anopheles funestus,283
Anopheles gambiae (Bamako),448
Anopheles gambiae (Forest),449
Anopheles gambiae (Form M),449
Anopheles gambiae (Form S),448
Anopheles gambiae (Mopti),449
Anopheles gambiae (Savanna),448
Anopheles gambiae complex,448
Anopheles gambiae sl,448 
Anopheles gambiae ss,448
Anopheles gambiae,448
Anopheles hancocki,301
Anopheles harrisoni (formerly minimus Sp. C),292
Anopheles harrisoni,292
Anopheles hyrcanus,199
Anopheles jamesii,322
Anopheles jeyporiensis,274
Anopheles karwari,323
Anopheles kochi,361
Anopheles koliensis,379
Anopheles latens (leucospyrus),416
Anopheles leucosphyrus complex,417
Anopheles leucosphyrus,417
Anopheles longirostris,364
Anopheles maculatus,352
Anopheles melas,450
Anopheles merus,451
Anopheles minimus (formerly Sp. A),293
Anopheles minimus C,293
Anopheles minimus complex,293
Anopheles minimus,293
Anopheles moucheti,258
Anopheles nigerrimus,220
Anopheles nili (ovengensis),397
Anopheles nili complex,396
Anopheles nili,396
Anopheles nimpe,206
Anopheles nivipes,342
Anopheles nuneztovari complex,490
Anopheles nuneztovari(Sp. B/C),490
Anopheles pallidus,338
Anopheles pampanai,278
Anopheles peditaeniatus,218
Anopheles pharoensis,243
Anopheles philippinensis,339
Anopheles pseudojamesi,334
Anopheles pseudopunctipennis complex,102
Anopheles punctulatus complex,380
Anopheles punctulatus,380
Anopheles quadriannulatus,452
Anopheles quadrimaculatus (formerly Sp. A),65
Anopheles quadrimaculatus complex,65
Anopheles sawadwongporni,354
Anopheles sinensis,209
Anopheles splendidus,334
Anopheles stephensi,336
Anopheles subpictus (Sp. B),454
Anopheles subpictus complex,454
Anopheles subpictus,454
Anopheles sundaicus complex,456
Anopheles sundaicus,456
Anopheles tessellatus,421
Anopheles umbrosus,235
Anopheles vagus,444
Anopheles varuna,279
Anopheles vestitipennis,151
Anopheles zeimanni,189
Maculatus Group,352
