Taxon_no;Subgenus;Section;Series;Group;Complex;taxon;Vector;Author;Subspecies
1;Anopheles;;;;;Anopheles anthropophagus;TRUE;Xu & Feng 1975;
15;Anopheles;Angusticorn;Anopheles;;Claviger;Anopheles claviger;TRUE;Meigen 1804;
65;Anopheles;Angusticorn;Anopheles;;Quadrimaculatus;Anopheles quadrimaculatus;TRUE;Say 1824;
67;Anopheles;Angusticorn;Anopheles;;Freeborni;Anopheles freeborni;TRUE;Aitken 1939;
70;Anopheles;Angusticorn;Anopheles;;Maculipennis;Anopheles atroparvus;TRUE;Van Thiel 1927;
73;Anopheles;Angusticorn;Anopheles;;Maculipennis;Anopheles labranchiae;TRUE;Falleroni 1926;
76;Anopheles;Angusticorn;Anopheles;;Maculipennis;Anopheles melanoon;TRUE;Hackett 1934;
77;Anopheles;Angusticorn;Anopheles;;Maculipennis;Anopheles messeae;TRUE;Falleroni 1926;
80;Anopheles;Angusticorn;Anopheles;;Maculipennis;Anopheles sacharovi;TRUE;Favre 1903;
89;Anopheles;Angusticorn;Anopheles;Plumbeus;;Anopheles plumbeus;TRUE;Stegnii & Kabanova 1828;
99;Anopheles;Angusticorn;Anopheles;Pseudopunctipennis;;Anopheles parapunctipennis;TRUE;Martini 1932;
137;Anopheles;Laticorn;Arribalzagia;;;Anopheles intermedius;TRUE;Peryassu 1908;
155;Anopheles;Laticorn;Myzorhynchus;;;Anopheles barbirostris;TRUE;van der Wulp 1884;
199;Anopheles;Laticorn;Myzorhynchus;Hyrcanus;;Anopheles hyrcanus;TRUE;Pallas;
209;Anopheles;Laticorn;Myzorhynchus;Hyrcanus;;Anopheles sinensis;TRUE;Wiedemann 1826;
220;Anopheles;Laticorn;Myzorhynchus;Hyrcanus;Nigerrimus;Anopheles nigerrimus;TRUE;Giles 1900;
231;Anopheles;Laticorn;Myzorhynchus;Umbrosus;Letifer;Anopheles letifer;TRUE;Sandosham 1944;
258;Cellia;Myzomyia;;;;Anopheles moucheti;TRUE;;
271;Cellia;Myzomyia;;Demeilloni;;Anopheles sergentii;TRUE;;
280;Cellia;Myzomyia;;Funestus;Culicifacies;Anopheles culicifacies;TRUE;;
283;Cellia;Myzomyia;;Funestus;Funestus;Anopheles funestus;TRUE;;
284;Cellia;Myzomyia;;Funestus;Funestus;Anopheles funestus-like;TRUE;;
288;Cellia;Myzomyia;;Funestus;Minimus;Anopheles flavirostris;TRUE;;
291;Cellia;Myzomyia;;Funestus;Minimus;Anopheles fluviatilis;TRUE;;
293;Cellia;Myzomyia;;Funestus;Minimus;Anopheles minimus;TRUE;;
296;Cellia;Myzomyia;;Funestus;Rivulorum;Anopheles rivulorum;TRUE;;
323;Cellia;Neocellia;;;;Anopheles karwari;TRUE;;
329;Cellia;Neocellia;;;;Anopheles pulcherrimus;TRUE;;
336;Cellia;Neocellia;;;Stephensi;Anopheles stephensi;TRUE;;
337;Cellia;Neocellia;;;Superpictus;Anopheles superpictus;TRUE;;
339;Cellia;Neocellia;;Annularis;;Anopheles philippinensis;TRUE;;
341;Cellia;Neocellia;;Annularis;Annularis;Anopheles annularis;TRUE;;
352;Cellia;Neocellia;;Maculatus;Maculatus;Anopheles maculatus;TRUE;;
376;Cellia;Neomyzomyia;;;punctulatus;Anopheles farauti;TRUE;;
379;Cellia;Neomyzomyia;;;punctulatus;Anopheles koliensis;TRUE;;
380;Cellia;Neomyzomyia;;;punctulatus;Anopheles punctulatus;TRUE;;
396;Cellia;Neomyzomyia;;Ardensis;Nili;Anopheles nili;TRUE;;
407;Cellia;Neomyzomyia;;Leucosphyrus;Hackeri;Anopheles sulawesi;TRUE;;
408;Cellia;Neomyzomyia;;Leucosphyrus;;Anopheles baimaii;TRUE;;
411;Cellia;Neomyzomyia;;Leucosphyrus;Dirus;Anopheles dirus;TRUE;;
414;Cellia;Neomyzomyia;;Leucosphyrus;Leucosphyrus;Anopheles balabacensis;TRUE;;
416;Cellia;Neomyzomyia;;Leucosphyrus;Leucosphyrus;Anopheles latens;TRUE;;
417;Cellia;Neomyzomyia;;Leucosphyrus;Leucosphyrus;Anopheles leucosphyrus;TRUE;;
433;Cellia;Paramyzomyia;;Listeri;;Anopheles multicolor;TRUE;;
444;Cellia;Pyretophorus;;;;Anopheles vagus;TRUE;;
445;Cellia;Pyretophorus;;;Gambiae;Anopheles arabiensis;TRUE;;
448;Cellia;Pyretophorus;;;Gambiae;Anopheles gambiae;TRUE;;
449;Cellia;Pyretophorus;;;Gambiae;Anopheles coluzzii ;TRUE;Coetzee & Wilkerson 2013;
450;Cellia;Pyretophorus;;;Gambiae;Anopheles melas;TRUE;;
454;Cellia;Pyretophorus;;;Subpictus;Anopheles subpictus;TRUE;;
456;Cellia;Pyretophorus;;;Sundaicus;Anopheles sundaicus;TRUE;;
459;Kerteszia;;;;;Anopheles bellator;TRUE;;
461;Kerteszia;;;;;Anopheles cruzii;TRUE;;
463;Kerteszia;;;;;Anopheles homunculus;TRUE;;
477;Nyssorhynchus;Albimanus;Albimanus;;;Anopheles albimanus;TRUE;;
